3
999
999
4.310307e-02
10 01
T T
1.439648e-01 2.155153e-02 2.155153e-02 1.000000 0.758928 0.956648
7.336732e-02 2.155153e-02 2.155153e-02 1.000000 0.040312 0.239196
6.207047e-01 2.155153e-02 2.155153e-02 1.000000 0.380517 0.780860
6.351002e-01 2.155153e-02 2.155153e-02 1.000000 0.460537 0.998354
8.412554e-01 2.155153e-02 2.155153e-02 1.000000 0.640385 0.440665
9.908220e-02 2.155153e-02 2.155153e-02 1.000000 0.217309 0.003344
8.437512e-01 2.155153e-02 2.155153e-02 1.000000 0.767047 0.808305
1.924267e-01 2.155153e-02 2.155153e-02 1.000000 0.754670 0.687251
5.815468e-01 2.155153e-02 2.155153e-02 1.000000 0.443366 0.517069
4.017430e-01 2.155153e-02 2.155153e-02 1.000000 0.978376 0.968384
2.304518e-01 2.155153e-02 2.155153e-02 1.000000 0.140559 0.873237
2.089329e-01 2.155153e-02 2.155153e-02 1.000000 0.505933 0.528357
3.620573e-01 2.155153e-02 2.155153e-02 1.000000 0.720594 0.207772
9.946592e-01 2.155153e-02 2.155153e-02 1.000000 0.972431 0.645796
2.700934e-01 2.155153e-02 2.155153e-02 1.000000 0.938306 0.919799
6.880254e-01 2.155153e-02 2.155153e-02 1.000000 0.307260 0.066926
2.048622e-01 2.155153e-02 2.155153e-02 1.000000 0.689074 0.622885
1.023897e-01 2.155153e-02 2.155153e-02 1.000000 0.340152 0.430399
1.457003e-03 2.155153e-02 2.155153e-02 1.000000 0.927705 0.510896
8.121788e-01 2.155153e-02 2.155153e-02 1.000000 0.228230 0.935235
9.258803e-01 2.155153e-02 2.155153e-02 1.000000 0.245525 0.153285
3.181007e-01 2.155153e-02 2.155153e-02 1.000000 0.292908 0.383490
1.023042e-01 2.155153e-02 2.155153e-02 1.000000 0.385223 0.467897
3.055484e-01 2.155153e-02 2.155153e-02 1.000000 0.645704 0.288778
4.364551e-01 2.155153e-02 2.155153e-02 1.000000 0.725860 0.620241
5.221132e-01 2.155153e-02 2.155153e-02 1.000000 0.047793 0.960730
5.787345e-01 2.155153e-02 2.155153e-02 1.000000 0.958994 0.410984
8.663188e-03 2.155153e-02 2.155153e-02 1.000000 0.664597 0.572019
2.050719e-01 2.155153e-02 2.155153e-02 1.000000 0.204155 0.052484
9.556077e-01 2.155153e-02 2.155153e-02 1.000000 0.741419 0.037399
2.323387e-01 2.155153e-02 2.155153e-02 1.000000 0.204473 0.120372
1.355078e-01 2.155153e-02 2.155153e-02 1.000000 0.648546 0.275721
7.840415e-01 2.155153e-02 2.155153e-02 1.000000 0.252026 0.607976
1.245428e-01 2.155153e-02 2.155153e-02 1.000000 0.062652 0.188253
7.935139e-01 2.155153e-02 2.155153e-02 1.000000 0.557089 0.860651
4.635679e-01 2.155153e-02 2.155153e-02 1.000000 0.482209 0.005187
4.328122e-01 2.155153e-02 2.155153e-02 1.000000 0.507913 0.310298
6.089068e-01 2.155153e-02 2.155153e-02 1.000000 0.823466 0.837315
8.023527e-01 2.155153e-02 2.155153e-02 1.000000 0.592935 0.089657
2.902202e-02 2.155153e-02 2.155153e-02 1.000000 0.187128 0.239694
9.408570e-01 2.155153e-02 2.155153e-02 1.000000 0.139880 0.106085
3.049399e-01 2.155153e-02 2.155153e-02 1.000000 0.887739 0.597064
2.778710e-01 2.155153e-02 2.155153e-02 1.000000 0.865918 0.730091
5.277435e-01 2.155153e-02 2.155153e-02 1.000000 0.629399 0.522454
3.298280e-01 2.155153e-02 2.155153e-02 1.000000 0.080938 0.053381
9.789555e-01 2.155153e-02 2.155153e-02 1.000000 0.717794 0.449221
3.859066e-01 2.155153e-02 2.155153e-02 1.000000 0.239590 0.485170
5.065754e-01 2.155153e-02 2.155153e-02 1.000000 0.396580 0.966796
7.032446e-02 2.155153e-02 2.155153e-02 1.000000 0.000198 0.010540
8.721056e-01 2.155153e-02 2.155153e-02 1.000000 0.747293 0.967250
3.468451e-01 2.155153e-02 2.155153e-02 1.000000 0.900405 0.354982
2.310861e-01 2.155153e-02 2.155153e-02 1.000000 0.966710 0.191264
8.659547e-01 2.155153e-02 2.155153e-02 1.000000 0.712544 0.021545
1.873316e-01 2.155153e-02 2.155153e-02 1.000000 0.250135 0.988537
7.838705e-02 2.155153e-02 2.155153e-02 1.000000 0.823270 0.424689
4.842040e-01 2.155153e-02 2.155153e-02 1.000000 0.067724 0.735026
5.901750e-01 2.155153e-02 2.155153e-02 1.000000 0.074540 0.056752
8.284980e-01 2.155153e-02 2.155153e-02 1.000000 0.143067 0.797828
5.639614e-01 2.155153e-02 2.155153e-02 1.000000 0.084721 0.230387
2.546858e-01 2.155153e-02 2.155153e-02 1.000000 0.214976 0.791075
6.822986e-01 2.155153e-02 2.155153e-02 1.000000 0.878612 0.255839
1.489139e-01 2.155153e-02 2.155153e-02 1.000000 0.405529 0.396762
2.551204e-01 2.155153e-02 2.155153e-02 1.000000 0.502198 0.193776
9.004590e-01 2.155153e-02 2.155153e-02 1.000000 0.561308 0.714274
2.510825e-01 2.155153e-02 2.155153e-02 1.000000 0.017268 0.045850
4.753573e-01 2.155153e-02 2.155153e-02 1.000000 0.703124 0.728312
9.931997e-01 2.155153e-02 2.155153e-02 1.000000 0.621019 0.921523
9.732022e-01 2.155153e-02 2.155153e-02 1.000000 0.145500 0.265021
2.410385e-01 2.155153e-02 2.155153e-02 1.000000 0.155022 0.923111
7.618193e-01 2.155153e-02 2.155153e-02 1.000000 0.413512 0.201518
9.182106e-01 2.155153e-02 2.155153e-02 1.000000 0.161307 0.502146
9.218859e-01 2.155153e-02 2.155153e-02 1.000000 0.900422 0.678735
1.440236e-01 2.155153e-02 2.155153e-02 1.000000 0.884930 0.521385
1.120092e-01 2.155153e-02 2.155153e-02 1.000000 0.519616 0.253239
6.034445e-01 2.155153e-02 2.155153e-02 1.000000 0.972632 0.975132
4.718931e-01 2.155153e-02 2.155153e-02 1.000000 0.514818 0.164490
2.002507e-01 2.155153e-02 2.155153e-02 1.000000 0.753797 0.324481
6.960347e-01 2.155153e-02 2.155153e-02 1.000000 0.242438 0.485671
6.722032e-01 2.155153e-02 2.155153e-02 1.000000 0.102168 0.101568
2.241285e-01 2.155153e-02 2.155153e-02 1.000000 0.402246 0.919671
2.810265e-01 2.155153e-02 2.155153e-02 1.000000 0.994047 0.357804
7.104083e-01 2.155153e-02 2.155153e-02 1.000000 0.730972 0.440425
